,influencer_username,platform,text
52,aaroncgshore,influencers,Still buzzing driving back down to training about the whole of last week  What a team we have  boxingboothgym and what a crowd Belfast are  mickconlan11 saved the best til last 
53,aaroncgshore,influencers,Being a Dad is the best feeling in the world 
54,aaroncgshore,influencers,What a beautiful day watching some 1 I have so many good memories with tie the knot   gazbeadle
55,aaroncgshore,influencers,Kevin and Perry  roll on going on holiday 
56,aaroncgshore,influencers,We don’t scrub up to bad when we not in PJs or changing shitty nappies  talia.oatway 
57,aaroncgshore,influencers,"My beautiful not so little family all dressed up for  gazbeadle and  emma jane1392 wedding   What an amazing day it was 

Suit as always  forbes.tailoring"
58,aaroncgshore,influencers,Eyes on the prize   flysportsuk
59,aaroncgshore,influencers,They literally are so close   Always side by side  big Lenny only bothers with Romeo in the house the miserable twat   talia.oatway
60,aaroncgshore,influencers,Such a cheeky little smile 
61,aaroncgshore,influencers,Big big thanks to  newbieandme for the kids car seats   As you can see Romeo loves it  they are based in Shropshire  Cheshire and a third store coming to Leeds in August 
62,aaroncgshore,influencers,8 months of blood  sweat and a few tears and living away from my family is starting to pay off   Stayed consistent in the gym and showed  boxingbooth how much I wanted it and we are now working towards following my dream and see where it takes us 
63,aaroncgshore,influencers,Maddox first smile  Goodnight 
64,aaroncgshore,influencers,Come on England   talia.oatway
65,aaroncgshore,influencers,Romeos face every time he sees his sister from school   talia.oatway
66,aaroncgshore,influencers,Matching with my princess 
67,aaroncgshore,influencers,Kids make your life more important 
68,aaroncgshore,influencers,Look at my 2 boys  best friends already  Romeo looking after his brother
69,aaroncgshore,influencers,Good morning 
70,aaroncgshore,influencers,Get me and my little princess away back on holiday  3 months and counting
71,aaroncgshore,influencers,My big boy enjoying his cake  or should I say enjoying making a mess for his mummy   talia.oatway
72,aaroncgshore,influencers,Same time again next year  talia.oatway  maybe a girl next 1 
73,aaroncgshore,influencers,Look at this little dolly Maddox 
74,aaroncgshore,influencers, the best mother I could ask for our kids
75,aaroncgshore,influencers,Daddy’s got you son 
76,aaroncgshore,influencers,Charlottes birthday go karting last night   charlottegshore
77,aaroncgshore,influencers,The boys matching ready for bed 
78,aaroncgshore,influencers,All smiles 
79,aaroncgshore,influencers,Daddy’s boy 
80,aaroncgshore,influencers,Can’t wait to get you and your mammy home 
81,aaroncgshore,influencers,What this woman has been through last few days is unbelievable but she’s still  happy  considering the pain she’s in and  she’s doing amazing with our new son   I love you darling   talia.oatway
82,aaroncgshore,influencers,Daddy loves you son   Is it just me or is he Romeos double 
83,aaroncgshore,influencers,"Welcome to the world baby Maddox

He’s 5 and half weeks early but he’s a healthy 5.5lbs and Mam and baby doing amazing   talia.oatway"
84,aaroncgshore,influencers,Last night literally was our last date night for a while  I think the hot food broke Talia’s waters early this morning    Baby chalmers incoming anytime during tonight or early morning   talia.oatway  filming  geordieOGs
85,aaroncgshore,influencers,Good rounds this morning  danielmorley97 thank you mate   boxingboothgym
86,aaroncgshore,influencers,Happy 1st birthday son  had a lovely day with nice food and plenty of cake as you can tell 
87,aaroncgshore,influencers,"The odd 1 out 

Trainers all sourced by  excdfootwear"
88,aaroncgshore,influencers,Growing up so fast he’s 1 in 10 days 
89,aaroncgshore,influencers,Taking after his dad already wearing pink 
90,aaroncgshore,influencers,When  mickconlan11 is telling you it’s going to be a brutal session he doesn’t lie   abassbaraou having a laugh in the background haha  boxingbooth
91,aaroncgshore,influencers,"Me and my little baba enjoying the new carpets 

Carpets supplied and fitted by  aclarkecarpets flooring"
92,aaroncgshore,influencers,Now he can move in this car everywhere ya turn he’s behind ya   talia.oatway
93,aaroncgshore,influencers,Happy 70th birthday dad  big raymondo getting on the Guinness today 
94,aaroncgshore,influencers,"Today is exactly 6 months without a drop of alcohol and I honestly can say it’s been 1 of the easiest things iv done   I haven’t missed it and I’m literally fitter and healthier then Iv ever been   

I’m at a new gym training towards a new career and that was literally the game changer.... it’s true you do become who you surround yourself with and I couldn’t be happier  roll on the next 6 months I’m gna be a father again and I’m going to be doing summit I love for the next few years and I’m giving it my all day in and day out in training 

Don’t ever listen or let people tell you that you can’t do something  normally people say that it’s because they want to do it or they don’t want you to do better than them "
95,aaroncgshore,influencers,My little cheeky chops 
96,aaroncgshore,influencers,Doing summit I love 
97,aaroncgshore,influencers,My little darlings enjoying the snow 
98,aaroncgshore,influencers,To young to have a phone son
99,aaroncgshore,influencers,Likes looking at himself like his old man 
100,aaroncgshore,influencers,My little twin 
101,aaroncgshore,influencers,Nothing better after a long week of training getting home and having a bath with my boy 
102,aaroncgshore,influencers,Why can’t they stay this big forever 
103,aaroncgshore,influencers,The first time Siennah’s seen proper snow  so only right to let her tear it up on the quad while we snowed in    Look at how much fun she’s having   Im absolutely minging 
104,aaroncgshore,influencers,The happiest boy 
105,aaroncgshore,influencers,"Not the best first Xmas for Romeo with lockdown and no markets or things on but still making the most of getting out and about when im home at weekends 

Do we think boris is gna open us all up for 1 week at Xmas "
106,aaroncgshore,influencers,Another peak soon I reckon  terryfukinchalmers
107,aaroncgshore,influencers,Romeo absolutely loving his first photo shoot  designerchildrenswear store  talia.oatway   This time next year have 1 asleep on each arm 
108,aaroncgshore,influencers,The little baba 
109,aaroncgshore,influencers,This was cracking day up hellvellyn with the boys finished with a none alcoholic beer at the top and bottom   It’s always good getting out and about and we done some trek    Onto the next 1 after lockdown  terryfukinchalmers  b1gsmith  raymo1664
110,aaroncgshore,influencers,So after all the times of talia trying to teach him to day Mum these are his first words....... defo saying da da da  good lad 
111,aaroncgshore,influencers,How small was he man 
112,aaroncgshore,influencers,Christmas has definitely come early  we must be mad    ANOTHER baby chalmers on the way 
113,aaroncgshore,influencers,"3 MONTHS T-Total....So after going down a slippery slope drinking with lockdown and losing 2 or my last 3 fights I decided to make a decision for myself and my career and that was to knock alcohol on the head   I always kept saying I was gna do it and then end up having a drink   But everything around me was suffering  especially my training as i just totally lost interest and all I started to care about was my next drink... and then it become a daily thing so that’s when I had to make the decision either carry on how I was or ruin my career  

3 months without a drop and I’m in the best place Iv been in a long time   I’m going down a new path training and surrounded by people with championship mind sets is defo starting to rub off on me   I’m fit in healthy and my anxiety is none existent... here’s to the next 3 months alcohol free and 2021 we get back to fighting but a different level "
114,aaroncgshore,influencers,Starting him young 
115,aaroncgshore,influencers,Matching 
116,aaroncgshore,influencers,The kids 
117,aaroncgshore,influencers,Back to the good times when you could wear suits and go to the races  there is always 2021  courtney.clift  terryfukinchalmers
118,aaroncgshore,influencers,Being a dad is the best feeling in the whole world   Seeing his little smile when I get home makes everything worth while 
119,aaroncgshore,influencers,Happy 7th birthday to my little darling siennah I hope you have an amazing day and enjoy your presents and cakes  I love you
120,aaroncgshore,influencers,Little beauty 
121,aaroncgshore,influencers,Me and my little baba  getting so big now
122,aaroncgshore,influencers,My and then big handsome  nathanhgshore last week   Obv I won at bowling 
123,aaroncgshore,influencers,Sundays mornings 
124,aaroncgshore,influencers,Siennah gone be so happy i get my motorbike today so she has some 1 to ride with and chase now 
125,aaroncgshore,influencers,Making sure he knows which team he’s gna support 
126,aaroncgshore,influencers,Family day today 
127,aaroncgshore,influencers,My little beautiful boy doing his first photo shoot today  thanks  hayleycronephoto can’t wait to see all pics
128,aaroncgshore,influencers,Mini me 
129,aaroncgshore,influencers,Had a lush day filming down the coast with my little baldy 
130,aaroncgshore,influencers,Happy birthday to the big man  courtney.clift have a cracking day cuz 
131,aaroncgshore,influencers,Thanks  tombaxter hair for fixing my aunty gean up she absolutely loves it  barberevo  osmouk official
132,aaroncgshore,influencers,After fighting his daddy for a few hours trying to stay awake  the nappy tap over the shoulder sent him on his way 
133,aaroncgshore,influencers,Father and son sundays 
134,aaroncgshore,influencers,My little baba with his nan today   chalmerslynn
135,aaroncgshore,influencers,Nothing better then cuddles with my beautiful boy  I love you
136,aaroncgshore,influencers,The look of love 
137,aaroncgshore,influencers,Little tap of the nappy and away he goes   beautifulboy
138,aaroncgshore,influencers,It’s a family business  terryfukinchalmers  courtney.clift
139,aaroncgshore,influencers,Morning run followed by a dip in the North Sea  that’s the morning routine sorted from now  terryfukinchalmers
140,aaroncgshore,influencers,He’s defo having long hair like his daddy haha can’t deal with the bald egg 
141,aaroncgshore,influencers,My beautiful baba  I love you my son
142,aaroncgshore,influencers,The little baba in his first shower 
143,aaroncgshore,influencers,Happy Father’s Day to me   My little Romeo is all I need 
144,aaroncgshore,influencers,Look at my little egg head man 
145,aaroncgshore,influencers,Mini me 
146,aaroncgshore,influencers,Getting chunky now 
147,aaroncgshore,influencers,Always so peaceful when he’s on my shoulder 
148,aaroncgshore,influencers,8 months without a cut from a skin fade   I managed 11 last time and have always regretted cutting   Xmas gna have a naughty wig 
149,aaroncgshore,influencers,This time last week me and tez enjoying the beautiful coast line on a steady ride and now Fast forward 1 week and good old English weather is back   terryfukinchalmers
150,aaroncgshore,influencers,My first birthday as a daddy 
151,aaroncgshore,influencers,My beautiful boy looking so grown up today for some reason 
152,aaroncgshore,influencers,All I need in my life is you my beautiful boy 
153,aaroncgshore,influencers,Happy birthday mam  chalmerslynn hope you have a lovely day and get some gin down ya neck 
154,aaroncgshore,influencers,Happy 30th birthday to my best mate and no matter what some 1 who makes sure she comes to all of my fights   Have an amazing day I love ya   charlottegshore couple of throwback pics of us 
155,aaroncgshore,influencers,Love seeing his happy face everyday 
156,aaroncgshore,influencers,My little Tarzan 
157,aaroncgshore,influencers,Handsome boy  can’t believe how much baby’s change on a weekly basis
158,aaroncgshore,influencers,Look at the love Lenny has for Romeo   talia.oatway
159,aaroncgshore,influencers,My beautiful little boy 
160,aaroncgshore,influencers,Back when me and  charlottegshore were having a laugh filming JTOU 
161,aaroncgshore,influencers,Loves his bath   talia.oatway
162,aaroncgshore,influencers,Me and the baba having a nap 
163,aaroncgshore,influencers,Goodnight 
164,aaroncgshore,influencers,My little beautiful baba Romeo 
165,aaroncgshore,influencers,She so happy being a big sister 
166,aaroncgshore,influencers,Father and son morning cuddles 
167,aaroncgshore,influencers,I am literally the proudest daddy to this little boy  literally so in love with him 
168,aaroncgshore,influencers,My little beautiful having a little wash this morning 
169,aaroncgshore,influencers,Such a frown on him 
170,aaroncgshore,influencers, throwback to when we could leave the house 
171,aaroncgshore,influencers,Find myself just staring at him for so long at times   Never been so in love in my whole life    Proudest father I could possibly be
172,aaroncgshore,influencers,Happy Easter from my little bunny    for the parent police I’m not kissing his mouth it’s his cheek so save ya comments  
173,aaroncgshore,influencers,Siennah meeting her little brother for the first time   
174,aaroncgshore,influencers,My beautiful boy is home safe and sound  literally perfect
175,aaroncgshore,influencers,"Our boy Romeo aj Chalmers 
10/04/2020
6.3 and half pound
AJ for Aaron junior"
176,aaroncgshore,influencers,Welcome to the world my beautiful son  can you guess his name  
177,aaroncgshore,influencers,Good times   
178,aaroncgshore,influencers,Looks like the races will be cancelled this year so here’s me the bro and cuz looking smart as a  all suited by  forbes.tailoring
179,aaroncgshore,influencers,Good to chat to the champ champ  thenotoriousmma after my fight Saturday night   Some positives words from him about it and onto the next 
180,aaroncgshore,influencers,Still a winner in her eyes 
181,aaroncgshore,influencers,Last hard wrestling rounds done today with the bro  brad tarren feel good  weights good and now Saturday we can have fun in front of that unreal Dublin crowd 
182,aaroncgshore,influencers,You have a bite of mine and I’ll have a bite of yours    Can’t wait to be back in the sun in a couple of weeks   What’s every 1s favourite winter destination 
183,aaroncgshore,influencers,Me and the baba picking the flower wall for the baby shower  wishingwellcompany 
184,aaroncgshore,influencers,Happy 30th birthday to my little bro tez    Here’s a couple pics from over the years   Ill keep the embarrassing 1s to myself   terryfukinchalmers  hope your doing it properly in Thailand
185,aaroncgshore,influencers,Before this fight Alex had gone 3 rounds with a 5-0 guy  after this fight he wasn’t seen again   bellatordublin
186,aaroncgshore,influencers,"Took a knee to the face

Sent him dizzy with a left / right

Strangled a man"
187,aaroncgshore,influencers,"Stand

Bang

Goodnight

 BellatorDublin "
188,aaroncgshore,influencers,ITS A BOY 
189,aaroncgshore,influencers,Remembrance Sunday with my bro  terryfukinchalmers who is a 11yr serving Royal Marine 
190,aaroncgshore,influencers,Always nice to catch up with  sophiekasaei  couldn’t get a word in neither of us as that much to catch up on 
191,aaroncgshore,influencers,The BEST surprises are the 1s you don’t expect.... I’m going to be a DADDY    Can’t wait to meet you   talia.oatway
192,aaroncgshore,influencers,Lovely scran  gustorestaurants with the boys  courtney.clift  terryfukinchalmers  davidhawley
193,aaroncgshore,influencers,The joker 
194,aaroncgshore,influencers, forbes.tailoring making us boys look smart as fuck for ladies day   The only place to get suited   terryfukinchalmers
195,aaroncgshore,influencers,Me and  samgowland had a Cracking night last night at  bravemmaf and nice to meet  chriseubankjr 
196,aaroncgshore,influencers,Not the best pic but always good to see  pb1  and  semtex170 ....... as always I’m trying to lead them astray 
197,aaroncgshore,influencers,Scrub up areet sometimes   bravemmaf tonight in London 
198,aaroncgshore,influencers,Trip upto  forbes.tailoring with the family to get suited and booted for races at the weekend 
199,aaroncgshore,influencers,Me and the beautiful  katiepiper  at the formula 1 today..... Thanks to  govype for an amazing day 
200,adamcollard,influencers,back in my natural habitat
201,adamcollard,influencers,"Work Capacity Wednesday bringing  sculpt   to  activeescapesgreece  save this workout for your conditioning for the week  KB and TRX only 

Part A  
Every 2 30 x 6 Sets
10 Thrusters
10 TRX Rows
10 Ab Rollouts 

Part B 
Every 2 30 x 6 sets 
10 KB Rows
10 KB Swings
10 Box Jumps 

Getting ready for the crew to come in. Save this and share it with a friend "
202,adamcollard,influencers,Back in one of my favourite spots and ready to bring the vibes  zen and Tzatziki 
203,adamcollard,influencers,"Sunday sesh EMOM 40   sculpt   

Scale this to whatever you can manage on each minute in 45s work // 15s rest 

EMOM 40 
1 - 60 Doubles
2- 16 DB Push Press
3- 16 Cal Ski 
4- 16 Renegade Rows 
5- 16 Cal Bike

I used 22.5kgs. Today was supposed to be a rest day but since I’m travelling tomorrow I wanted to increase my expenditure and enjoy the Greek food a bit more. Train smarter. 

 Sculpt"
204,adamcollard,influencers,"Training is hard. Being lazy is hard. Choose your hard… I’m looking for 10 people that want to transform their bodies in as little as 8-12 weeks…

I’ve reopened my 1 1 coaching service  which gives you support around the clock with tour training  nutrition  mindset and most importantly accountability. 

We check in twice per week so there’s no falling off track this time. 

If you want to chat more  fill out the form with the link in the top of my bio and let’s get started. 

 sculpt  "
205,adamcollard,influencers,"“The Ferocity we should approach everyday with..”   benbergeron  theliftlaughlifepodcast 

On tomorrows episode we welcome guest Ben Bergeron  Ironman  Box Owner  cfne   Father and one of the most notorious coaches in the crossfit space over the last 10 years. 

Coaching the likes of  katrintanja  mathewfras  blacksmifff  colesager35  amandajbarnhart and many more. 

This is without doubt our best episode to date and will be live on YouTube  Apple and Spotify  9am GMT 

Drop us a podcast review or share if you like it 

 LiftLaughLifePodcast  creat iveflow"
206,adamcollard,influencers,"Really loving training at the moment  having fun with it and feeling fit. Clinging onto strength if I’m honest with Triathlon  1 incoming but feels good  I don’t train all of my clients this way  I cater to individual goals but here’s a session from yesterday  sculpt   

A  Front Squats 
4x5 Reps  80  of 1RM 

B  Deadlift 
3 x 8 Reps 
3 x 4 Reps 

C  DB Knee Over Toe Split Squat 
4 sets of 6/6 each leg 

D  Posterior Bias Conditioning 

4 Sets 
30 Cal Ski 
20 GHD Sit UPS
10 BB Power Snatch 

Work   Rest ratio 1 1 

 Sculpt"
207,adamcollard,influencers,big rings
208,adamcollard,influencers,"Soy Chilli   Honey Salmon  my number one go-to evening meal powered by  musclefooduk 

I used the 1kg Salmon side that cooked about 4 meals worth and an uncle bens rice which you can also grab on Muscle Food if you create your own hampers or basket. 

Super easy to cook and again a great way to prep 4-5 meals or for the family 

Ingredients for 2 people 

250g uncle bens white rice 
1kg Salmon Side  used half of it 
20g Honey 
1Kcal Spray 
Easy Chilli   Garlic Pots  healthy tea spoon of each  

Go try it out. Do you like food content  

 mfgoalgettersuk AD  MuscleFood"
209,adamcollard,influencers,"Set the tone Mondays  sculpt    I want to work with you. Check out the link in my bio for coaching 

A  Front Squats 
E2MOM x 6 Sets 
4 Reps  80  of 1RM 

B  Bodybuilding Work 
3 Rounds
8 Nordic Hamstring Curls 
12 Hip Thrusts 
Rest as needed between sets 

C - Conditioning 
EMOM 24
1- 12 Thrusters 45/30kg
2- 10 Pull UPS   5 Burpees 
3- 17/13 Cal Bike 
4 - Rest Minute

That got lit "
210,adamcollard,influencers,A man who’s mission is to show people how you can train hard  eat well and live a little along the way. A good bit of down time last weekend in España
211,adamcollard,influencers,"Super Saturdays are a vibe 

Lift - Squat 
E2MOM x 5-6 Sets 
6 Back Squats building 

Workout of the day in pairs 

AMRAP 6 
40/36 Cal Ski
20 Squat Cleans  50/35kg

Rest 60s 

AMRAP 6 
12 Devils Press 22.5/15kg
12 toes to bar
12 Box Jumps 

Rest 60s 

X 2 total rounds 

What you got  Love jumping in the  sculpt   classes  the atmosphere and community are unmatched 

 sculpt  "
212,adamcollard,influencers,"Sculpt 45. The programme that gets you in and out in 45 minutes or less. Example workout below  you can sign up to the online programme on adamcollard.com 

Warm Up - 0-6 Minutes 
1 00 Cardio 
30/30 each side Pigeon 
10 DB Jefferson Curls 
20 Bodyweight Reverse Lunges 
10 Blackburn Press Ups 
Repeat for one more round 

2 00 Rest   get kit for below workout 

Workout of the day 

Every 6 00 x 6 Sets  36 00 total 

500m/400m C2 Bike 
20 Single Arm DB Thrusters 
500m/400m C2 Bike 
20 Single Arm DB Rows 
500m/400m C2 Bike 
20 DB Snatch 

I used a single 22.5kg Dumbbell.

Give it a pop and let me know how you get on  

 sculpt  "
213,adamcollard,influencers,"Friday vibes  sculpt   

 outafterdark rc with the run programming speed session 

6 rounds 
3 00 Hard 
2 00 Easy 

Some gym basics 

DB Seated Good Mornings 
Deadlifts 
Pull UPS 
DB Bench Press 

AMRAP 10’ 
12 GHD Sit Ups
8/8 DB Push Press 22.5kg
500m C2 Bike"
214,adamcollard,influencers,"Dumbbell only EMOM Workout   noccouk  keep this for when you’re stuck with just two DB’s or away on holiday 

EMOM 
1- 20 DB Lunges
2- 20 DB Renegade/Plank Rows 
3- 8 Dual Devils Press 
4- 20 DB Chest Press from floor 

A good simple one for anyone to get your teeth stuck into. Summer vibes and drinking Nocco to fuel and cool off on a hot day "
215,adamcollard,influencers,"Breakfast wraps are the one   musclefooduk 

3 Mini Wraps  120 cals 
3 Eggs 
6 Bacon Medallions from  musclefooduk 
Little Nando’s chilli Jam 
Ketchup 

A quick and easy banger. I get this every month in my muscle food hamper to keep my nutrition on track. 

Taper the portion sizes to the calorie allowance you have on a daily basis and for most of you  don’t use mine 

 sculpt  "
216,adamcollard,influencers,Tuesday sauce
217,adamcollard,influencers,"Bellisssimo  musclefooduk Pizzas are back with a bang  upgraded bases  better taste  a brand new carbonara flavour higher protein and still all around 500 cals or less. 

I love working in things like this to my diet because it keeps you sane when you’re trying to turn on the gas during a cutting phase or trying to drop body fat. 

Enjoy the food you love and still see results with MuscleFood  available on  musclefooduk and in all  mfgoalgettersuk meal plans 

Here’s my favourite ones from the other night. You’ve got to try the cheeseburger one  it bangs AD"
218,adamcollard,influencers,"Who run the world.. Girls  swipe along and see 3 amazing women and their progress pics that have stood out over the last 6 weeks 

 kirstydavies97 
 highdebra 
 kstew05 

All 3 girls have smashed it and followed every step along the way with regular check ins with me. 

Picture 1  kirstydavies97 - the goal was project “Bali Body”  tighten nutrition up a little bit  be a bit more accountable with training and Kirsty opted for 1 1 coaching to do this as she’s had 7  years training experience but just needed the plan put in place 

Picture 2 -  highdebra has been one of our hybrid clients and previously has started “The 60-Day Sculpt Challenge” where she’s smashed all the workouts  ticked off her daily habits that I set and been almost as perfect as you could do be with nutrition. Not too strict  just small changes over time. 

Picture 3 -  kstew05 progress has been outstanding as the pictures don’t show her Squat and Deadlifts that have also been going through the roof  Katrina has been doing the female fat loss programme in her own commercial gym. The goal was bring up the back and booty while getting leaner. We’ve done just that  

I love training these 3 and the hundreds of other women we have online. 

All 3 individuals different situations  experience  and age. But with the right plan and work ethic  the results come. 

If you want to work with me  check out the links in my bio or drop me a DM to chat  I’ll do my best to get back to all of them  

My emails are also always open 

 sculpt  "
219,adamcollard,influencers,"Tasty little finish to an upper body day  I want you to try this one out  save it  If you want me to help you get in shape check out my 60-day transformation challenge  link in bio 

Every Minute on the minute x 12 Minutes 
Odd   18 Single DB Hang Clean and Jerks 
Even   16/13 Cal Ski 

Was about 45 seconds on 15 seconds off for work/rest ratio. A great one to light up the shoulders  lats   tris which makes it perfect to end an upper body day 

 sculpt  "
220,adamcollard,influencers,more life  more good vibes
221,adamcollard,influencers,"Short   simple conditioning Grab a mate and smash this Partner WOD

200 Cal Bike for time 

Switch with partner every 20 Cals 

Resting partner has to complete 15 Toes to Bar during rest

 Sculpt"
222,adamcollard,influencers,"Workout of the day  crossfitportixol 

Strength - Front Squats 
2 sets of 7 Reps  Light-Mod 
2 sets of 5 Reps  Moderate 
2 sets of 3 Reps  Heavy Load  
Rest as needed 

Into 

Partner workout 
AMRAP 18 
50 Double Unders 
35 Sit UPS
25 Box Jumps 
15 Front Squats 60/40kg 

Split reps but resting partner has to keep the bar in front rack position  that bit was lit. 

Even got  creat iveflow in on the action for his first ever CrossFit WOD"
223,adamcollard,influencers, out of office 
